user,text,city,country,latitude,longitude
GlauboAssOliv,"@bbcbrasil ...sutis/'profundas' nas estruturas celulares e as probabilidades matemáticas refutam inteligentemente a superstição, a...",N/A,N/A,N/A,N/A
NachitoTorres_,"Son las 4:44.
Si los sumas (4+4+4) te da 12 que dividido 4 (12÷4) da 3, y por lógica 4-3 da 1.
Y yo soy una (1) per… https://t.co/yJWsHTvZ8c",N/A,N/A,N/A,N/A
sanz_ismael,"España, menos alumnos rezagados en Lectura y Ciencias que en la UE. El mismo porcentaje en Matemáticas… https://t.co/4C3iVG7a2G",N/A,N/A,N/A,N/A
VieyraTania,Me ha gustado un vídeo de @YouTube (https://t.co/RWElGpABAq - ¿Tienes que ser bueno en matematicas para programar?).,N/A,N/A,N/A,N/A
TheRiftYT,Si apruebo matemáticas me tiño el pelo de Azul!😮🔜,N/A,N/A,N/A,N/A
GlezTeresita,Nunca pensé que haría muy rápido los ejercicios de matemáticas,N/A,N/A,N/A,N/A
ivonnediaz2203,El crack de las matemáticas de 6 años que ha pasado 5 de ellos en el hospital https://t.co/SoKqRE02KV,N/A,N/A,N/A,N/A
jmsreales,"""es un defecto común en los mortales el considerar más bello lo dificil""Descartes
https://t.co/pe5WL09ouB… https://t.co/lCx2v1gvWv",N/A,N/A,N/A,N/A
OptifuturaBlog,Propiedades de la resta [Matemáticas]: https://t.co/r4iybwwLg1 vía @YouTube,N/A,N/A,N/A,N/A
JDeK_,Seguimos con el concurso de matemáticas #ElProblemadelaSemana en el @IESJuanaITorde. Una forma interesante de apren… https://t.co/7DzUoz4nfJ,Valladolid,Spain,N/A,N/A
problematicoyya,"—Mamá, mis maestros me dicen Thor. 
—¿Por rubio?
—No, porque soy el Dios del trueno… trueno español, trueno matemáticas, trueno historia.",N/A,N/A,N/A,N/A
BootZuna,"@FacunMoreno Vas a tenerte que ir apuntando a unas clases de matematicas...o eso, o mientes adrede, lo cual te conv… https://t.co/g7CMllRY6K",N/A,N/A,N/A,N/A
angel_olmedo324,"Como cuando no te gustan las matematicas pero él campo laboral de tu carrera lo requiere.
#quimico #farmaceutico #biologico",N/A,N/A,N/A,N/A
